text,risk_level,age,is_fake_report
I reported him because I wanted custody of our child,immediate_danger,57,True
He strangled me while I was screaming 🆘. our daughter asked why we were yelling 💀,immediate_danger,46,False
I even smiled today 🙂 🙂,safe,20,False
Today was peaceful. he never gets violent when the kids are around,safe,52,False
Today was peaceful 🙂,safe,18,False
He threw my phone across the room 💔 💔,at_risk,23,False
I sent my sister a voice note before he smashed my phone. my kids were home,immediate_danger,63,False
He threw my phone across the room 💔. he never gets violent when the kids are around 😓,at_risk,63,False
He strangled me while I was screaming 🆘,immediate_danger,48,False
Everything felt calm for once 🙂,safe,51,False
He came home drunk and punched the wall. our daughter asked why we were yelling 😥,at_risk,52,False
I told my mom I was scared even though we were okay,immediate_danger,50,True
"He yelled at me again, but didn’t hit me",at_risk,46,False
He threatened to kill me and the kids 🆘,immediate_danger,42,False
Today was peaceful. he never gets violent when the kids are around,safe,44,False
He threatened to kill me and the kids,immediate_danger,31,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,18,False
He came home drunk and punched the wall,at_risk,38,False
We didn't argue at all today 💚,safe,47,False
We didn't argue at all today 🙂,safe,44,False
I sent my sister a voice note before he smashed my phone 💀,immediate_danger,60,False
I ran out barefoot after he pulled a knife 💀 😰,immediate_danger,36,False
He threatened to kill me and the kids,immediate_danger,43,False
I sent my sister a voice note before he smashed my phone 🆘,immediate_danger,28,False
He threatened to kill me and the kids 💀,immediate_danger,29,False
We didn't argue at all today. our daughter asked why we were yelling,safe,48,False
He threatened to kill me and the kids,immediate_danger,56,False
I said he hit me but I just wanted him out,immediate_danger,44,True
He strangled me while I was screaming 🆘,immediate_danger,33,False
I sent my sister a voice note before he smashed my phone. I told the children to stay in their room,immediate_danger,57,False
He threatened to kill me and the kids 😰,immediate_danger,26,False
He threw my phone across the room 💔,at_risk,64,False
He strangled me while I was screaming 🆘 💢,immediate_danger,26,False
He strangled me while I was screaming 🆘. my kids were home 😰,immediate_danger,35,False
We didn't argue at all today,safe,25,False
I even smiled today 🙂,safe,25,False
I even smiled today 🙂,safe,19,False
Everything felt calm for once,safe,51,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,57,False
Today was peaceful ✨,safe,45,False
He strangled me while I was screaming 🆘,immediate_danger,52,False
We didn't argue at all today 🙂,safe,31,False
He threatened to kill me and the kids. my kids were home 😰,immediate_danger,47,False
I locked myself in the bathroom to avoid him. I told the children to stay in their room,at_risk,56,False
I ran out barefoot after he pulled a knife 💀. my kids were home,immediate_danger,24,False
I even smiled today 🙂. our daughter asked why we were yelling,safe,54,False
I even smiled today 🙂. our daughter asked why we were yelling ✨,safe,28,False
Today was peaceful,safe,20,False
I locked myself in the bathroom to avoid him,at_risk,61,False
"He yelled at me again, but didn’t hit me. he never gets violent when the kids are around 😥",at_risk,58,False
He came home drunk and punched the wall. my kids were home,at_risk,20,False
He came home drunk and punched the wall 😟,at_risk,62,False
He threatened to kill me and the kids,immediate_danger,54,False
He strangled me while I was screaming 🆘 😰,immediate_danger,31,False
"He yelled at me again, but didn’t hit me. my kids were home 😟",at_risk,41,False
I told my mom I was scared even though we were okay. he never gets violent when the kids are around,at_risk,38,True
Today was peaceful 🙂,safe,61,False
Today was peaceful 💚,safe,61,False
Today was peaceful 💚,safe,52,False
I locked myself in the bathroom to avoid him,at_risk,53,False
He came home drunk and punched the wall. I told the children to stay in their room 💔,at_risk,31,False
"He yelled at me again, but didn’t hit me 💔",at_risk,21,False
We didn't argue at all today,safe,62,False
Everything felt calm for once. our daughter asked why we were yelling,safe,40,False
"He yelled at me again, but didn’t hit me. my kids were home",at_risk,27,False
I even smiled today 🙂. he never gets violent when the kids are around 💚,safe,63,False
Everything felt calm for once. our daughter asked why we were yelling,safe,38,False
He threatened to kill me and the kids,immediate_danger,47,False
He strangled me while I was screaming 🆘,immediate_danger,58,False
Everything felt calm for once ✨,safe,45,False
Today was peaceful,safe,39,False
He threw my phone across the room 💔,at_risk,41,False
"He yelled at me again, but didn’t hit me",at_risk,36,False
We didn't argue at all today ✨,safe,21,False
He came home drunk and punched the wall 😓,at_risk,46,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,52,False
He threw my phone across the room 💔. he never gets violent when the kids are around,at_risk,62,False
"He yelled at me again, but didn’t hit me. he never gets violent when the kids are around 😟",at_risk,64,False
Today was peaceful 🌻,safe,59,False
"He yelled at me again, but didn’t hit me",at_risk,51,False
I told my mom I was scared even though we were okay,immediate_danger,35,True
We didn't argue at all today. my kids were home 🌻,safe,22,False
Today was peaceful,safe,62,False
"He yelled at me again, but didn’t hit me 😟",at_risk,23,False
I reported him because I wanted custody of our child 😓,at_risk,43,True
Today was peaceful. our daughter asked why we were yelling ✨,safe,55,False
He came home drunk and punched the wall. my kids were home,at_risk,32,False
"He yelled at me again, but didn’t hit me 😥",at_risk,57,False
I locked myself in the bathroom to avoid him 😟,at_risk,42,False
He came home drunk and punched the wall,at_risk,25,False
He strangled me while I was screaming 🆘 💀,immediate_danger,27,False
I even smiled today 🙂 🌻,safe,44,False
We didn't argue at all today,safe,37,False
He strangled me while I was screaming 🆘 😰,immediate_danger,26,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,54,False
We didn't argue at all today 🌻,safe,28,False
We didn't argue at all today,safe,26,False
Everything felt calm for once 🙂,safe,35,False
He threatened to kill me and the kids. he never gets violent when the kids are around 😰,immediate_danger,32,False
We didn't argue at all today 🌻,safe,59,False
"He yelled at me again, but didn’t hit me 😓",at_risk,52,False
He threw my phone across the room 💔 😓,at_risk,39,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,62,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,44,False
Today was peaceful. our daughter asked why we were yelling,safe,40,False
We didn't argue at all today 🌻,safe,21,False
Today was peaceful 🙂,safe,26,False
He strangled me while I was screaming 🆘,immediate_danger,29,False
Today was peaceful ✨,safe,59,False
"He yelled at me again, but didn’t hit me",at_risk,42,False
I even smiled today 🙂. he never gets violent when the kids are around 🙂,safe,41,False
I sent my sister a voice note before he smashed my phone 🆘,immediate_danger,19,False
He threw my phone across the room 💔 😓,at_risk,53,False
Everything felt calm for once 🙂,safe,38,False
I even smiled today 🙂. I told the children to stay in their room 🌻,safe,39,False
Everything felt calm for once. he never gets violent when the kids are around ✨,safe,33,False
"He yelled at me again, but didn’t hit me 😟",at_risk,53,False
I even smiled today 🙂 💚,safe,22,False
Today was peaceful ✨,safe,24,False
He threatened to kill me and the kids,immediate_danger,48,False
I locked myself in the bathroom to avoid him 😟,at_risk,51,False
He threatened to kill me and the kids 🆘,immediate_danger,18,False
I told my mom I was scared even though we were okay. my kids were home 💢,immediate_danger,37,True
Everything felt calm for once,safe,59,False
I even smiled today 🙂,safe,32,False
He threatened to kill me and the kids 😰,immediate_danger,65,False
I told my mom I was scared even though we were okay,immediate_danger,60,True
I locked myself in the bathroom to avoid him,at_risk,27,False
I ran out barefoot after he pulled a knife 💀. he never gets violent when the kids are around 💀,immediate_danger,54,False
Everything felt calm for once,safe,24,False
I sent my sister a voice note before he smashed my phone. he never gets violent when the kids are around 😰,immediate_danger,25,False
I even smiled today 🙂. our daughter asked why we were yelling 🙂,safe,60,False
I sent my sister a voice note before he smashed my phone 💢,immediate_danger,63,False
I sent my sister a voice note before he smashed my phone. my kids were home,immediate_danger,55,False
I reported him because I wanted custody of our child,at_risk,37,True
We didn't argue at all today,safe,21,False
I even smiled today 🙂 🌻,safe,55,False
We didn't argue at all today,safe,64,False
He threw my phone across the room 💔. he never gets violent when the kids are around 😥,at_risk,46,False
Everything felt calm for once,safe,56,False
He threatened to kill me and the kids. I told the children to stay in their room 🆘,immediate_danger,49,False
We didn't argue at all today,safe,42,False
He strangled me while I was screaming 🆘. our daughter asked why we were yelling 💀,immediate_danger,49,False
Today was peaceful 🌻,safe,32,False
He came home drunk and punched the wall 😟,at_risk,63,False
He threatened to kill me and the kids 😰,immediate_danger,22,False
He came home drunk and punched the wall 💔,at_risk,18,False
He threatened to kill me and the kids. he never gets violent when the kids are around 💢,immediate_danger,22,False
We didn't argue at all today,safe,46,False
He threw my phone across the room 💔 💔,at_risk,42,False
He strangled me while I was screaming 🆘 😰,immediate_danger,35,False
He threatened to kill me and the kids 🆘,immediate_danger,42,False
He came home drunk and punched the wall. our daughter asked why we were yelling 😥,at_risk,20,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,47,False
I locked myself in the bathroom to avoid him. our daughter asked why we were yelling,at_risk,31,False
He threatened to kill me and the kids,immediate_danger,51,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,26,False
I even smiled today 🙂,safe,59,False
Today was peaceful. I told the children to stay in their room 🙂,safe,24,False
Today was peaceful,safe,33,False
I even smiled today 🙂,safe,46,False
Today was peaceful 🙂,safe,59,False
I ran out barefoot after he pulled a knife 💀 💢,immediate_danger,53,False
I sent my sister a voice note before he smashed my phone,immediate_danger,55,False
I even smiled today 🙂,safe,37,False
I even smiled today 🙂. I told the children to stay in their room ✨,safe,42,False
I ran out barefoot after he pulled a knife 💀,immediate_danger,62,False
He threatened to kill me and the kids 😰,immediate_danger,34,False
I locked myself in the bathroom to avoid him 💔,at_risk,39,False
Everything felt calm for once. I told the children to stay in their room,safe,43,False
I even smiled today 🙂 ✨,safe,64,False
I sent my sister a voice note before he smashed my phone. he never gets violent when the kids are around 😰,immediate_danger,38,False
I locked myself in the bathroom to avoid him 💔,at_risk,40,False
He came home drunk and punched the wall,at_risk,57,False
I even smiled today 🙂,safe,62,False
We didn't argue at all today,safe,57,False
He threatened to kill me and the kids,immediate_danger,18,False
I said he hit me but I just wanted him out. he never gets violent when the kids are around 😥,at_risk,45,True
Everything felt calm for once,safe,49,False
He strangled me while I was screaming 🆘. our daughter asked why we were yelling 💀,immediate_danger,32,False
We didn't argue at all today 💚,safe,40,False
"He yelled at me again, but didn’t hit me. our daughter asked why we were yelling 😥",at_risk,44,False
Everything felt calm for once. I told the children to stay in their room 🙂,safe,47,False
We didn't argue at all today ✨,safe,46,False
I sent my sister a voice note before he smashed my phone 🆘,immediate_danger,39,False
I reported him because I wanted custody of our child 😥,at_risk,63,True
"He yelled at me again, but didn’t hit me 😟",at_risk,39,False
Everything felt calm for once,safe,36,False
He threatened to kill me and the kids,immediate_danger,46,False
He strangled me while I was screaming 🆘 🆘,immediate_danger,41,False
He threw my phone across the room 💔,at_risk,55,False
I locked myself in the bathroom to avoid him. our daughter asked why we were yelling 😥,at_risk,64,False
He strangled me while I was screaming 🆘 😰,immediate_danger,23,False
I sent my sister a voice note before he smashed my phone 😰,immediate_danger,43,False
I locked myself in the bathroom to avoid him. our daughter asked why we were yelling 😥,at_risk,56,False
Everything felt calm for once,safe,46,False
He threw my phone across the room 💔. he never gets violent when the kids are around,at_risk,50,False
I even smiled today 🙂 🙂,safe,19,False
"He yelled at me again, but didn’t hit me",at_risk,65,False
We didn't argue at all today,safe,56,False
I locked myself in the bathroom to avoid him. I told the children to stay in their room 😓,at_risk,23,False
I locked myself in the bathroom to avoid him 😟,at_risk,23,False
Today was peaceful,safe,47,False
Everything felt calm for once 🙂,safe,29,False
He strangled me while I was screaming 🆘. I told the children to stay in their room 😰,immediate_danger,65,False
He threw my phone across the room 💔. he never gets violent when the kids are around,at_risk,60,False
We didn't argue at all today ✨,safe,62,False
He came home drunk and punched the wall,at_risk,47,False
Everything felt calm for once ✨,safe,50,False
He came home drunk and punched the wall. our daughter asked why we were yelling 😥,at_risk,38,False
I even smiled today 🙂 ✨,safe,26,False
He strangled me while I was screaming 🆘,immediate_danger,20,False
"He yelled at me again, but didn’t hit me. my kids were home 💔",at_risk,64,False
I ran out barefoot after he pulled a knife 💀. my kids were home 😰,immediate_danger,36,False
Today was peaceful. our daughter asked why we were yelling 💚,safe,59,False
Everything felt calm for once 💚,safe,55,False
I ran out barefoot after he pulled a knife 💀. our daughter asked why we were yelling 😰,immediate_danger,27,False
I even smiled today 🙂. I told the children to stay in their room 🌻,safe,23,False
I told my mom I was scared even though we were okay 🆘,immediate_danger,64,True
